driver,query,rt
monetdb,query-1,2.3416717052459717
monetdb,query-2,2.4762096405029297
monetdb,query-3,10.402524948120117
monetdb,query-4,30.41990613937378
monetdb,query-5,61.60620450973511
monetdb,query-6,0.5211155414581299
monetdb,query-7,19.814446687698364
monetdb,query-8,52.52005982398987
monetdb,query-9,29.831082344055176
monetdb,query-10,128.86048793792725
monetdb,query-11,1.5423402786254883
monetdb,query-12,8.034744024276733
monetdb,query-13,3.022128105163574
monetdb,query-14,5.159678220748901
monetdb,query-15,7.054069995880127
monetdb,query-16,231.12091088294983
monetdb,query-17,3.0533549785614014
monetdb,query-18,180.811861038208
monetdb,query-19,0.6467974185943604
monetdb,query-20,4.664431095123291
monetdb,query-21,42.75874876976013
monetdb,query-22,5.564218521118164
tique,query-1,4.206082105636597
tique,query-2,4.711420774459839
tique,query-3,18.635986804962158
tique,query-4,38.422682762145996
tique,query-5,85.2521026134491
tique,query-6,2.590759038925171
tique,query-7,39.85681748390198
tique,query-8,51.23045992851257
tique,query-9,46.22563648223877
tique,query-10,106.43135666847229
tique,query-11,3.579777717590332
tique,query-12,16.609307050704956
tique,query-13,3.9757449626922607
tique,query-14,4.597503185272217
tique,query-15,66.64777040481567
tique,query-16,220.11915707588196
tique,query-17,6.682780742645264
tique,query-18,190.9596152305603
tique,query-19,0.6611464023590088
tique,query-20,29.735313415527344
tique,query-21,63.99815368652344
tique,query-22,10.185397863388062
postgres,query-1,39.218989849090576
postgres,query-2,140.60023665428162
postgres,query-3,48.582802057266235
postgres,query-4,156.02938222885132
postgres,query-5,634.105815410614
postgres,query-6,44.73006534576416
postgres,query-7,53.633546590805054
postgres,query-8,9.030578851699829
postgres,query-9,12.667240858078003
postgres,query-10,1746.8815202713013
postgres,query-11,309.9321279525757
postgres,query-12,224.6184802055359
postgres,query-13,34.72642493247986
postgres,query-14,38.07825994491577
postgres,query-15,223.73801445960999
postgres,query-16,292.0288345813751
postgres,query-17,24.198894262313843
postgres,query-18,1070.4937360286713
postgres,query-19,6.624891042709351
postgres,query-20,293.7420153617859
postgres,query-21,648.1952605247498
postgres,query-22,1.9068691730499268
singlestore,query-1,0.5221943855285645
singlestore,query-2,6.0513176918029785
singlestore,query-3,19.600470066070557
singlestore,query-4,15.92053508758545
singlestore,query-5,344.704824924469
singlestore,query-6,0.7537803649902344
singlestore,query-7,17.102998971939087
singlestore,query-8,2.400362014770508
singlestore,query-9,1.6588866710662842
singlestore,query-10,263.49609541893005
singlestore,query-11,1.82932710647583
singlestore,query-12,12.431056022644043
singlestore,query-13,0.7694883346557617
singlestore,query-14,4.589874505996704
singlestore,query-15,41.28264546394348
singlestore,query-16,96.37092614173889
singlestore,query-17,1.141951322555542
singlestore,query-18,296.084046125412
singlestore,query-19,1.3215434551239014
singlestore,query-20,2.2702856063842773
singlestore,query-21,50.56652808189392
singlestore,query-22,2.3766379356384277
tidb,query-1,10.366605281829834
tidb,query-2,8.100929021835327
tidb,query-3,21.60840892791748
tidb,query-4,18.95114302635193
tidb,query-5,82.1802453994751
tidb,query-6,9.245652198791504
tidb,query-7,26.653734922409058
tidb,query-8,13.711875438690186
tidb,query-9,19.913657665252686
tidb,query-10,133.85432314872742
tidb,query-11,5.238895893096924
tidb,query-12,19.547675132751465
tidb,query-13,4.360305547714233
tidb,query-14,15.748846530914307
tidb,query-15,38.23604679107666
tidb,query-16,145.4589762687683
tidb,query-17,20.461899757385254
tidb,query-18,262.97578859329224
tidb,query-19,1.3395416736602783
tidb,query-20,17.257158041000366
tidb,query-21,56.28303670883179
tidb,query-22,8.545351505279541
